id,r,t,p,z,m200b,r200b
45556432982,1767.654419,1.570353,-0.091257,0.453655,4724702576640.000000,0.409875
45556456059,1770.019653,1.570679,-0.091146,0.454345,1991403634688.000000,0.307312
45556456062,1771.590210,1.570441,-0.089948,0.454803,1952356499456.000000,0.305290
45556456064,1769.974487,1.570432,-0.088876,0.454332,780942573568.000000,0.224940
45556456072,1773.622925,1.570501,-0.090018,0.455395,0.000000,0.000000
45556432985,1775.709717,1.570776,-0.089505,0.456003,6794200481792.000000,0.462636
45556432986,1777.947510,1.570747,-0.088089,0.456656,3358053105664.000000,0.365782
45556457013,1779.085815,1.570318,-0.088126,0.456987,507612692480.000000,0.194852
45556457014,1779.878296,1.570351,-0.087803,0.457218,24755879018496.000000,0.711901
45556432994,1769.329346,1.570702,-0.080224,0.454144,10269394731008.000000,0.530935
45556432992,1766.687622,1.570615,-0.079375,0.453374,741895438336.000000,0.221127
45556432999,1771.141724,1.570712,-0.077732,0.454672,819989708800.000000,0.228628
45556432995,1771.751587,1.570681,-0.078246,0.454850,1679026552832.000000,0.290321
45556457180,1770.564697,1.570335,-0.073989,0.454504,585706962944.000000,0.204371
45556456873,1777.165161,1.570427,-0.084969,0.456428,0.000000,0.000000
45556432990,1775.657593,1.570600,-0.082102,0.455988,468565557248.000000,0.189722
45556457003,1778.709351,1.570664,-0.082692,0.456878,585706962944.000000,0.204371
45554416868,1752.746948,1.570419,-0.072209,0.449310,1132366790656.000000,0.254598
45556457167,1757.636963,1.570315,-0.069179,0.450735,898083979264.000000,0.235667
45556457168,1756.951172,1.570383,-0.068884,0.450536,23818747772928.000000,0.702802
45556457170,1758.710449,1.570595,-0.067431,0.451048,1054272454656.000000,0.248606
45556457171,1762.165405,1.570543,-0.064705,0.452055,1405696606208.000000,0.273626
45556457210,1763.094238,1.570307,-0.063268,0.452326,1249508065280.000000,0.263091
45556457193,1762.726440,1.570619,-0.063520,0.452219,898083979264.000000,0.235667
45556433012,1762.908936,1.570568,-0.061434,0.452272,0.000000,0.000000
45556459915,1754.802368,1.570228,-0.055914,0.449909,702848303104.000000,0.217177
45556459921,1756.247314,1.570551,-0.049794,0.450330,2459969257472.000000,0.329739
45556457195,1760.261475,1.570387,-0.057409,0.451500,819989708800.000000,0.228628
45556457212,1763.651855,1.570368,-0.058513,0.452489,819989708800.000000,0.228628
45556457196,1761.820312,1.570395,-0.057453,0.451955,1132366790656.000000,0.254598
45556433011,1763.459229,1.570681,-0.057690,0.452433,6794200481792.000000,0.462636
45556433009,1769.163574,1.570527,-0.071581,0.454095,546659794944.000000,0.199725
45556433013,1773.818481,1.570242,-0.061931,0.455452,663801167872.000000,0.213078
45556433033,1765.877075,1.570541,-0.050100,0.453137,28465357127680.000000,0.745817
45556433034,1766.031250,1.570551,-0.049637,0.453182,1210461061120.000000,0.260322
45556433021,1777.563110,1.570572,-0.059922,0.456544,1366649470976.000000,0.271068
45556433042,1778.721680,1.570535,-0.053799,0.456881,468565557248.000000,0.189722
45556433044,1779.747925,1.570337,-0.053862,0.457180,624754032640.000000,0.208816
45556433043,1779.845459,1.570442,-0.053998,0.457209,937131114496.000000,0.239034
45556433046,1780.291992,1.570519,-0.055206,0.457339,390471286784.000000,0.178535
45556433048,1780.667236,1.570319,-0.054426,0.457448,819989708800.000000,0.228628
45556433045,1780.311157,1.570320,-0.053883,0.457344,1249508065280.000000,0.263091
45556456049,1782.349243,1.570420,-0.097796,0.457939,1249508065280.000000,0.263091
45556456199,1782.659790,1.570703,-0.092497,0.458029,1405696606208.000000,0.273626
45556456179,1786.557617,1.570460,-0.093681,0.459165,1796167958528.000000,0.296922
45556456196,1787.277710,1.570530,-0.092420,0.459375,4099948675072.000000,0.390948
45556456198,1781.765259,1.570411,-0.090177,0.457768,1171413925888.000000,0.257492
45556456197,1784.247314,1.570699,-0.090146,0.458492,780942573568.000000,0.224940
45556456208,1787.282837,1.570669,-0.089798,0.459377,741895438336.000000,0.221127
45556456209,1787.116211,1.570701,-0.089264,0.459328,78094254080.000000,0.104408
45556456176,1789.932617,1.570505,-0.095204,0.460153,859036844032.000000,0.232201
45556456182,1795.270264,1.570708,-0.093972,0.461718,702848303104.000000,0.217177
45556457041,1793.614380,1.570250,-0.087105,0.461233,780942573568.000000,0.224940
45556457024,1792.397217,1.570659,-0.085819,0.460876,819989708800.000000,0.228628
45556457008,1792.259277,1.570522,-0.085160,0.460835,546659794944.000000,0.199725
45556433000,1793.313843,1.570319,-0.084603,0.461145,1249508065280.000000,0.263091
45556457034,1793.238525,1.570600,-0.085039,0.461122,351424151552.000000,0.172373
45556457035,1795.555298,1.570778,-0.084817,0.461802,0.000000,0.000000
45556472304,1802.667847,1.570430,-0.087989,0.463887,507612692480.000000,0.194852
45556472298,1803.589111,1.570718,-0.087534,0.464157,585706962944.000000,0.204371
45556472297,1803.881226,1.570684,-0.088259,0.464243,1835215093760.000000,0.299058
45556472274,1811.668823,1.570466,-0.097080,0.466526,2889487482880.000000,0.347910
45556472300,1805.539429,1.570678,-0.086982,0.464729,1444743741440.000000,0.276136
45556457039,1800.518433,1.570644,-0.083318,0.463257,663801167872.000000,0.213078
45556433003,1800.399658,1.570339,-0.080210,0.463222,702848303104.000000,0.217177
45556433002,1800.519897,1.570645,-0.080470,0.463257,624754032640.000000,0.208816
45556433001,1801.142944,1.570590,-0.080712,0.463440,2069497905152.000000,0.311278
45556433004,1802.218872,1.570787,-0.080888,0.463756,5466597883904.000000,0.430294
45556474142,1807.149536,1.570616,-0.084650,0.465201,13393165549568.000000,0.580080
45556474143,1807.055664,1.570299,-0.082710,0.465174,1327602335744.000000,0.268462
45556474144,1812.112061,1.570625,-0.080718,0.466656,937131114496.000000,0.239034
45556474176,1808.487793,1.570392,-0.078824,0.465594,1327602335744.000000,0.268462
45556433018,1794.738647,1.570512,-0.066709,0.461562,0.000000,0.000000
45556433026,1787.736084,1.570339,-0.060248,0.459509,1366649470976.000000,0.271068
45556433053,1786.360474,1.570336,-0.056416,0.459108,819989708800.000000,0.228628
45556433050,1784.851074,1.570673,-0.053601,0.458668,859036844032.000000,0.232201
45556433054,1787.563721,1.570460,-0.054186,0.459459,702848303104.000000,0.217177
45556433055,1787.538086,1.570790,-0.053880,0.459451,741895438336.000000,0.221127
45556433028,1799.466675,1.570652,-0.065710,0.462949,507612692480.000000,0.194852
45556433242,1808.337891,1.570638,-0.071795,0.465550,859036844032.000000,0.232201
45556474180,1810.506104,1.570686,-0.071856,0.466186,1718073688064.000000,0.292555
45556433424,1799.839966,1.570275,-0.055431,0.463058,624754032640.000000,0.208816
45556459948,1757.116089,1.570689,-0.047245,0.450584,3279958835200.000000,0.362924
45556460147,1753.235962,1.570434,-0.042148,0.449453,859036844032.000000,0.232201
45556433069,1755.632812,1.570266,-0.038772,0.450151,1366649470976.000000,0.271068
45556433070,1755.799561,1.570633,-0.038641,0.450200,1288555200512.000000,0.265804
45556433072,1756.749634,1.570268,-0.038776,0.450477,11636044726272.000000,0.553514
